DateTime,NOx,NO2,CO,C6H6,T
2004-03-10 18:00:00,166.0,113.0,2.6,11.9,13.6
2004-03-10 19:00:00,103.0,92.0,2.0,9.4,13.3
2004-03-10 20:00:00,131.0,114.0,2.2,9.0,11.9
2004-03-10 21:00:00,172.0,122.0,2.2,9.2,11.0
2004-03-10 22:00:00,131.0,116.0,1.6,6.5,11.2
2004-03-10 23:00:00,89.0,96.0,1.2,4.7,11.2
2004-03-11 00:00:00,62.0,77.0,1.2,3.6,11.3
2004-03-11 01:00:00,62.0,76.0,1.0,3.3,10.7
2004-03-11 02:00:00,45.0,60.0,0.9,2.3,10.7
2004-03-11 05:00:00,16.0,28.0,0.7,1.1,11.0
2004-03-11 06:00:00,34.0,48.0,0.7,1.6,10.5
2004-03-11 07:00:00,98.0,82.0,1.1,3.2,10.2
2004-03-11 08:00:00,174.0,112.0,2.0,8.0,10.8
2004-03-11 09:00:00,129.0,101.0,2.2,9.5,10.5
2004-03-11 10:00:00,112.0,98.0,1.7,6.3,10.8
2004-03-11 11:00:00,95.0,92.0,1.5,5.0,10.5
2004-03-11 12:00:00,104.0,95.0,1.6,5.2,9.5
2004-03-11 13:00:00,146.0,112.0,1.9,7.3,8.3
2004-03-11 14:00:00,207.0,128.0,2.9,11.5,8.0
2004-03-11 15:00:00,184.0,126.0,2.2,8.8,8.3
2004-03-11 16:00:00,193.0,131.0,2.2,8.3,9.7
2004-03-11 17:00:00,243.0,135.0,2.9,11.2,9.8
2004-03-11 18:00:00,281.0,151.0,4.8,20.8,10.3
2004-03-11 19:00:00,383.0,172.0,6.9,27.4,9.7
2004-03-11 20:00:00,351.0,165.0,6.1,24.0,9.6
2004-03-11 21:00:00,240.0,136.0,3.9,12.8,9.1
2004-03-11 22:00:00,94.0,85.0,1.5,4.7,8.2
2004-03-11 23:00:00,47.0,53.0,1.0,2.6,8.2
2004-03-12 00:00:00,122.0,97.0,1.7,5.9,8.3
2004-03-12 01:00:00,133.0,110.0,1.9,6.4,7.7
2004-03-12 02:00:00,82.0,91.0,1.4,4.1,7.1
2004-03-12 05:00:00,30.0,44.0,0.6,1.0,6.3
2004-03-12 06:00:00,56.0,71.0,0.8,1.8,6.8
2004-03-12 07:00:00,109.0,104.0,1.4,4.4,6.4
2004-03-12 08:00:00,307.0,141.0,4.4,17.9,7.3
2004-03-12 10:00:00,187.0,122.0,3.1,14.0,13.2
2004-03-12 11:00:00,216.0,143.0,2.7,11.6,14.3
2004-03-12 12:00:00,143.0,113.0,2.1,10.2,15.0
2004-03-12 13:00:00,160.0,116.0,2.5,11.0,16.1
2004-03-12 14:00:00,163.0,123.0,2.7,12.8,16.3
2004-03-12 15:00:00,190.0,126.0,2.9,14.2,15.8
2004-03-12 16:00:00,178.0,120.0,2.8,12.7,15.9
2004-03-12 17:00:00,150.0,119.0,2.4,11.7,16.9
2004-03-12 18:00:00,206.0,149.0,3.9,19.3,15.1
2004-03-12 19:00:00,202.0,145.0,3.7,18.2,14.4
2004-03-12 20:00:00,340.0,170.0,6.6,32.6,12.9
2004-03-12 21:00:00,274.0,149.0,4.4,20.1,12.1
2004-03-12 22:00:00,253.0,139.0,3.5,14.3,11.0
2004-03-12 23:00:00,300.0,134.0,5.4,21.8,9.7
2004-03-13 00:00:00,193.0,113.0,2.7,9.6,9.5
2004-03-13 01:00:00,139.0,97.0,1.9,7.4,9.1
2004-03-13 02:00:00,83.0,82.0,1.6,5.4,8.8
2004-03-13 05:00:00,62.0,65.0,1.0,2.6,8.3
2004-03-13 06:00:00,53.0,60.0,1.2,2.9,7.2
2004-03-13 07:00:00,139.0,77.0,1.5,5.1,6.3
2004-03-13 08:00:00,256.0,96.0,2.7,11.8,6.5
2004-03-13 09:00:00,295.0,119.0,3.7,15.1,9.6
2004-03-13 10:00:00,250.0,126.0,3.2,12.9,12.4
2004-03-13 11:00:00,296.0,158.0,4.1,16.1,15.6
2004-03-13 12:00:00,239.0,161.0,3.6,14.0,18.4
2004-03-13 13:00:00,153.0,124.0,2.8,12.3,19.4
2004-03-13 14:00:00,118.0,102.0,2.0,8.6,18.0
2004-03-13 15:00:00,119.0,116.0,2.0,9.2,18.4
2004-03-13 16:00:00,138.0,124.0,2.5,10.2,17.6
2004-03-13 17:00:00,148.0,125.0,2.3,10.6,16.7
2004-03-13 18:00:00,227.0,148.0,3.2,15.5,16.1
2004-03-13 19:00:00,277.0,165.0,4.2,19.6,15.8
2004-03-13 20:00:00,279.0,161.0,4.2,19.2,15.7
2004-03-13 21:00:00,283.0,159.0,4.2,18.3,15.3
2004-03-13 22:00:00,214.0,143.0,3.1,13.1,14.6
2004-03-13 23:00:00,172.0,130.0,2.6,10.9,14.7
2004-03-14 00:00:00,190.0,129.0,2.9,11.0,13.9
2004-03-14 01:00:00,174.0,119.0,2.8,11.9,14.6
2004-03-14 02:00:00,128.0,104.0,2.5,8.6,12.5
2004-03-14 05:00:00,53.0,70.0,1.2,3.7,11.5
2004-03-14 06:00:00,44.0,63.0,1.0,2.5,11.6
2004-03-14 07:00:00,74.0,67.0,0.9,2.4,10.4
2004-03-14 08:00:00,101.0,84.0,1.4,4.2,11.6
2004-03-14 09:00:00,118.0,83.0,1.6,6.4,12.4
2004-03-14 10:00:00,144.0,98.0,2.2,8.6,14.5
2004-03-14 11:00:00,176.0,114.0,2.8,10.9,16.9
2004-03-14 12:00:00,161.0,119.0,2.8,10.7,19.3
2004-03-14 13:00:00,113.0,104.0,2.0,7.5,21.2
2004-03-14 14:00:00,103.0,102.0,1.8,7.5,21.4
2004-03-14 15:00:00,112.0,107.0,1.9,8.2,21.9
2004-03-14 16:00:00,170.0,129.0,3.0,11.9,22.2
2004-03-14 17:00:00,180.0,128.0,2.9,12.0,21.3
2004-03-14 18:00:00,160.0,121.0,2.5,12.2,19.7
2004-03-14 19:00:00,261.0,157.0,4.6,20.6,18.4
2004-03-14 20:00:00,325.0,173.0,5.9,23.1,17.6
2004-03-14 21:00:00,217.0,146.0,3.4,14.7,16.7
2004-03-14 22:00:00,146.0,121.0,2.1,9.0,16.3
2004-03-14 23:00:00,152.0,119.0,2.2,8.8,14.7
2004-03-15 00:00:00,104.0,99.0,1.8,7.4,14.8
2004-03-15 01:00:00,106.0,93.0,1.8,6.9,14.0
2004-03-15 02:00:00,108.0,88.0,1.8,7.0,13.4
2004-03-15 05:00:00,88.0,74.0,1.0,3.9,11.9
2004-03-15 06:00:00,138.0,80.0,1.4,6.4,11.4
2004-03-15 07:00:00,228.0,89.0,2.2,9.7,11.3
2004-03-15 08:00:00,360.0,114.0,5.5,25.9,12.4
2004-03-15 09:00:00,478.0,149.0,8.1,36.7,14.8
2004-03-15 10:00:00,394.0,157.0,5.8,26.6,17.4
2004-03-15 11:00:00,319.0,155.0,4.2,20.1,19.8
2004-03-15 12:00:00,201.0,134.0,3.1,14.1,22.0
2004-03-15 13:00:00,171.0,119.0,2.9,14.9,23.3
2004-03-15 14:00:00,159.0,111.0,2.9,15.4,23.9
2004-03-15 15:00:00,153.0,104.0,2.5,12.1,24.4
