,CO,NO2,O3
0,2.6,113.0,1268.0
1,2.0,92.0,972.0
2,2.2,114.0,1074.0
3,2.2,122.0,1203.0
4,1.6,116.0,1110.0
5,1.2,96.0,949.0
6,1.2,77.0,733.0
7,1.0,76.0,730.0
8,0.9,60.0,620.0
9,0.6,-200.0,501.0
10,-200.0,34.0,445.0
11,0.7,28.0,422.0
12,0.7,48.0,472.0
13,1.1,82.0,730.0
14,2.0,112.0,1102.0
15,2.2,101.0,1028.0
16,1.7,98.0,860.0
17,1.5,92.0,671.0
18,1.6,95.0,664.0
19,1.9,112.0,799.0
20,2.9,128.0,1037.0
21,2.2,126.0,946.0
22,2.2,131.0,957.0
23,2.9,135.0,1104.0
24,4.8,151.0,1409.0
25,6.9,172.0,1704.0
26,6.1,165.0,1654.0
27,3.9,136.0,1285.0
28,1.5,85.0,821.0
29,1.0,53.0,552.0
30,1.7,97.0,816.0
31,1.9,110.0,832.0
32,1.4,91.0,692.0
33,0.8,-200.0,512.0
34,-200.0,32.0,384.0
35,0.6,44.0,394.0
36,0.8,71.0,487.0
37,1.4,104.0,748.0
38,4.4,141.0,1400.0
39,-200.0,-200.0,1588.0
40,3.1,122.0,1237.0
41,2.7,143.0,1167.0
42,2.1,113.0,959.0
43,2.5,116.0,983.0
44,2.7,123.0,1061.0
45,2.9,126.0,1139.0
46,2.8,120.0,1112.0
47,2.4,119.0,994.0
48,3.9,149.0,1410.0
49,3.7,145.0,1448.0
50,6.6,170.0,1887.0
51,4.4,149.0,1627.0
52,3.5,139.0,1491.0
53,5.4,134.0,1657.0
54,2.7,113.0,1285.0
55,1.9,97.0,1144.0
56,1.6,82.0,1043.0
57,1.7,-200.0,996.0
58,-200.0,83.0,992.0
59,1.0,65.0,819.0
60,1.2,60.0,835.0
61,1.5,77.0,940.0
62,2.7,96.0,1192.0
63,3.7,119.0,1411.0
64,3.2,126.0,1465.0
65,4.1,158.0,1583.0
66,3.6,161.0,1387.0
67,2.8,124.0,1101.0
68,2.0,102.0,850.0
69,2.0,116.0,947.0
70,2.5,124.0,1078.0
71,2.3,125.0,1084.0
72,3.2,148.0,1395.0
73,4.2,165.0,1612.0
74,4.2,161.0,1697.0
75,4.2,159.0,1886.0
76,3.1,143.0,1624.0
77,2.6,130.0,1536.0
78,2.9,129.0,1535.0
79,2.8,119.0,1530.0
80,2.5,104.0,1337.0
81,2.4,-200.0,1278.0
82,-200.0,82.0,1051.0
83,1.2,70.0,929.0
84,1.0,63.0,872.0
85,0.9,67.0,853.0
86,1.4,84.0,959.0
87,1.6,83.0,1093.0
88,2.2,98.0,1225.0
89,2.8,114.0,1355.0
90,2.8,119.0,1262.0
91,2.0,104.0,980.0
92,1.8,102.0,872.0
93,1.9,107.0,900.0
94,3.0,129.0,1099.0
95,2.9,128.0,1206.0
96,2.5,121.0,1262.0
97,4.6,157.0,1698.0
98,5.9,173.0,1905.0
99,3.4,146.0,1648.0
100,2.1,121.0,1423.0
101,2.2,119.0,1349.0
102,1.8,99.0,1250.0
103,1.8,93.0,1174.0
104,1.8,88.0,1149.0
105,1.1,-200.0,1021.0
106,-200.0,71.0,1013.0
107,1.0,74.0,1010.0
108,1.4,80.0,1083.0
109,2.2,89.0,1235.0
110,5.5,114.0,1680.0
111,8.1,149.0,2184.0
112,5.8,157.0,1973.0
113,4.2,155.0,1798.0
114,3.1,134.0,1522.0
115,2.9,119.0,1404.0
116,2.9,111.0,1263.0
117,2.5,104.0,1137.0
118,2.3,99.0,1068.0
119,2.8,110.0,1252.0
120,6.1,162.0,1843.0
121,8.0,187.0,2122.0
122,6.5,165.0,1992.0
123,4.2,145.0,1707.0
124,3.2,125.0,1494.0
125,1.4,101.0,1164.0
126,2.1,103.0,1272.0
127,1.2,88.0,1040.0
128,0.8,61.0,867.0
129,0.7,-200.0,826.0
130,-200.0,59.0,840.0
131,0.6,52.0,793.0
132,0.9,64.0,870.0
133,1.3,70.0,930.0
134,3.4,97.0,1407.0
135,3.7,95.0,1507.0
136,5.3,150.0,1843.0
137,4.1,162.0,1729.0
138,3.3,154.0,1583.0
139,4.0,161.0,1671.0
140,3.8,161.0,1491.0
141,2.8,128.0,1240.0
142,2.9,129.0,1313.0
143,2.9,133.0,1363.0
144,3.4,139.0,1296.0
145,3.9,137.0,1432.0
146,3.2,143.0,1432.0
147,5.1,177.0,2034.0
148,2.6,138.0,1602.0
149,1.7,117.0,1362.0
150,1.7,107.0,1314.0
151,1.2,90.0,1114.0
152,0.9,79.0,992.0
153,0.7,-200.0,884.0
154,-200.0,60.0,808.0
155,0.5,40.0,667.0
156,0.5,53.0,733.0
157,1.6,84.0,1052.0
158,4.1,108.0,1534.0
159,6.6,127.0,1931.0
160,4.3,134.0,1734.0
161,2.9,135.0,1595.0
162,2.5,142.0,1490.0
163,2.8,153.0,1508.0
164,2.6,123.0,1334.0
165,2.0,104.0,1045.0
166,2.9,129.0,1221.0
167,2.5,114.0,1069.0
168,5.0,158.0,1569.0
169,7.6,194.0,2306.0
170,6.7,182.0,2359.0
171,5.7,180.0,2050.0
172,2.8,136.0,1727.0
173,2.6,127.0,1705.0
174,2.3,116.0,1551.0
175,1.4,107.0,1240.0
176,1.0,88.0,1115.0
177,0.7,-200.0,969.0
178,-200.0,78.0,925.0
179,0.6,57.0,828.0
180,0.7,71.0,893.0
181,1.5,85.0,1075.0
182,4.7,124.0,1610.0
183,6.6,151.0,2051.0
184,4.5,150.0,1819.0
185,2.8,152.0,1568.0
186,2.2,139.0,1374.0
187,2.2,133.0,1268.0
188,2.3,126.0,1144.0
189,2.2,128.0,1109.0
190,2.8,169.0,1347.0
191,2.7,149.0,1206.0
192,3.7,156.0,1397.0
193,5.1,168.0,1588.0
194,5.1,176.0,1569.0
195,3.2,135.0,1322.0
196,2.1,121.0,1194.0
197,1.7,99.0,1062.0
198,2.0,106.0,1040.0
199,1.6,96.0,917.0
200,0.9,63.0,594.0
201,0.7,-200.0,430.0
202,-200.0,32.0,397.0
203,0.5,28.0,370.0
204,0.7,61.0,438.0
205,1.5,99.0,704.0
206,4.8,157.0,1476.0
207,6.2,166.0,1716.0
208,4.0,149.0,1398.0
209,3.3,135.0,1268.0
210,2.8,127.0,1188.0
211,3.0,122.0,1171.0
212,3.3,135.0,1250.0
213,3.5,139.0,1344.0
214,4.0,147.0,1378.0
215,4.6,158.0,1435.0
216,4.1,146.0,1372.0
217,4.5,144.0,1471.0
218,3.9,138.0,1439.0
219,4.0,143.0,1429.0
220,2.2,116.0,1081.0
221,2.1,109.0,993.0
222,1.7,92.0,837.0
223,1.6,83.0,761.0
224,1.3,81.0,650.0
225,1.3,-200.0,591.0
226,-200.0,55.0,505.0
227,0.8,53.0,518.0
228,0.8,67.0,571.0
229,1.1,91.0,842.0
230,2.1,113.0,1145.0
