Date,AQI
2013-01-01,160
2013-01-02,73
2013-01-03,75
2013-01-04,82
2013-01-05,93
2013-01-06,75
2013-01-07,58
2013-01-08,74
2013-01-09,78
2013-01-10,55
2013-01-11,61
2013-01-12,81
2013-01-13,88
2013-01-14,77
2013-01-15,82
2013-01-16,79
2013-01-17,58
2013-01-18,63
2013-01-19,74
2013-01-20,73
2013-01-21,61
2013-01-22,73
2013-01-23,60
2013-01-24,56
2013-01-25,57
2013-01-26,53
2013-01-27,47
2013-01-28,59
2013-01-29,68
2013-01-30,66
2013-01-31,65
2013-02-01,59
2013-02-02,76
2013-02-03,66
2013-02-04,67
2013-02-05,76
2013-02-06,65
2013-02-07,71
2013-02-08,50
2013-02-09,56
2013-02-10,61
2013-02-11,56
2013-02-12,54
2013-02-13,67
2013-02-14,70
2013-02-15,59
2013-02-16,61
2013-02-17,63
2013-02-18,64
2013-02-19,43
2013-02-20,47
2013-02-21,59
2013-02-22,65
2013-02-23,64
2013-02-24,56
2013-02-25,58
2013-02-26,61
2013-02-27,70
2013-02-28,65
2013-03-01,76
2013-03-02,60
2013-03-03,66
2013-03-04,59
2013-03-05,76
2013-03-06,43
2013-03-07,45
2013-03-08,46
2013-03-09,53
2013-03-10,70
2013-03-11,62
2013-03-12,74
2013-03-13,75
2013-03-14,83
2013-03-15,80
2013-03-16,83
2013-03-17,78
2013-03-18,73
2013-03-19,70
2013-03-20,67
2013-03-21,61
2013-03-22,68
2013-03-23,94
2013-03-24,101
2013-03-25,80
2013-03-26,73
2013-03-27,63
2013-03-28,57
2013-03-29,61
2013-03-30,60
2013-03-31,50
2013-04-01,42
2013-04-02,44
2013-04-03,65
2013-04-04,67
2013-04-05,43
2013-04-06,60
2013-04-07,67
2013-04-08,59
2013-04-09,60
2013-04-10,98
2013-04-11,68
2013-04-12,64
2013-04-13,66
2013-04-14,52
2013-04-15,47
2013-04-16,89
2013-04-17,56
2013-04-18,64
2013-04-19,71
2013-04-20,112
2013-04-21,115
2013-04-22,86
2013-04-23,61
2013-04-24,61
2013-04-25,56
2013-04-26,57
2013-04-27,77
2013-04-28,101
2013-04-29,69
2013-04-30,63
2013-05-01,55
2013-05-02,105
2013-05-03,112
2013-05-04,630
2013-05-05,65
2013-05-06,46
2013-05-07,53
2013-05-08,56
2013-05-09,57
2013-05-10,63
2013-05-11,97
2013-05-12,112
2013-05-13,126
2013-05-14,60
2013-05-15,64
2013-05-16,65
2013-05-17,59
2013-05-18,61
2013-05-19,87
2013-05-20,84
2013-05-21,108
2013-05-22,119
2013-05-23,65
2013-05-24,67
2013-05-25,77
2013-05-26,61
2013-05-27,58
2013-05-28,97
2013-05-29,74
2013-05-30,66
2013-05-31,105
2013-06-01,126
2013-06-02,80
2013-06-03,74
2013-06-04,74
2013-06-05,77
2013-06-06,93
2013-06-07,87
2013-06-08,71
2013-06-09,80
2013-06-10,54
2013-06-11,67
2013-06-12,58
2013-06-13,64
2013-06-14,74
2013-06-15,102
2013-06-16,97
2013-06-17,112
2013-06-18,90
2013-06-19,71
2013-06-20,105
2013-06-21,115
2013-06-22,97
2013-06-23,65
2013-06-24,53
2013-06-25,54
2013-06-26,49
2013-06-27,74
2013-06-28,53
2013-06-29,129
2013-06-30,108
2013-07-01,77
2013-07-02,58
2013-07-03,71
2013-07-04,74
2013-07-05,48
2013-07-06,58
2013-07-07,61
2013-07-08,112
2013-07-09,80
2013-07-10,66
2013-07-11,65
2013-07-12,64
2013-07-13,64
2013-07-14,100
2013-07-15,102
2013-07-16,67
2013-07-17,77
2013-07-18,90
2013-07-19,61
2013-07-20,68
2013-07-21,95
2013-07-22,67
2013-07-23,53
2013-07-24,51
2013-07-25,51
2013-07-26,54
2013-07-27,87
2013-07-28,64
2013-07-29,54
2013-07-30,54
2013-07-31,56
2013-08-01,80
2013-08-02,103
2013-08-03,84
2013-08-04,84
2013-08-05,93
2013-08-06,64
2013-08-07,55
2013-08-08,87
2013-08-09,55
2013-08-10,64
2013-08-11,74
2013-08-12,71
2013-08-13,93
2013-08-14,140
2013-08-15,119
2013-08-16,97
2013-08-17,87
2013-08-18,74
2013-08-19,56
2013-08-20,115
2013-08-21,77
2013-08-22,71
2013-08-23,98
2013-08-24,101
2013-08-25,87
2013-08-26,58
2013-08-27,55
2013-08-28,67
2013-08-29,56
2013-08-30,54
2013-08-31,47
2013-09-01,42
2013-09-02,45
2013-09-03,50
2013-09-04,55
2013-09-05,93
2013-09-06,84
2013-09-07,93
2013-09-08,60
2013-09-09,55
2013-09-10,54
2013-09-11,54
2013-09-12,67
2013-09-13,92
2013-09-14,126
2013-09-15,133
2013-09-16,100
2013-09-17,71
2013-09-18,59
2013-09-19,67
2013-09-20,64
2013-09-21,67
2013-09-22,45
2013-09-23,80
2013-09-24,101
2013-09-25,89
2013-09-26,55
2013-09-27,57
2013-09-28,74
2013-09-29,105
2013-09-30,84
2013-10-01,93
2013-10-02,61
2013-10-03,66
2013-10-04,67
2013-10-05,50
2013-10-06,74
2013-10-07,80
2013-10-08,52
2013-10-09,52
2013-10-10,51
2013-10-11,58
2013-10-12,65
2013-10-13,121
2013-10-14,63
2013-10-15,67
2013-10-16,64
2013-10-17,80
2013-10-18,74
2013-10-19,105
2013-10-20,90
2013-10-21,77
2013-10-22,72
2013-10-23,73
2013-10-24,66
2013-10-25,88
2013-10-26,118
2013-10-27,93
2013-10-28,47
2013-10-29,51
2013-10-30,59
2013-10-31,82
2013-11-01,71
2013-11-02,73
2013-11-03,73
2013-11-04,76
2013-11-05,73
2013-11-06,90
2013-11-07,71
2013-11-08,69
2013-11-09,83
2013-11-10,78
2013-11-11,75
2013-11-12,137
2013-11-13,80
2013-11-14,62
2013-11-15,68
2013-11-16,63
2013-11-17,65
2013-11-18,64
2013-11-19,60
2013-11-20,52
2013-11-21,46
2013-11-22,54
2013-11-23,52
2013-11-24,63
2013-11-25,67
2013-11-26,63
2013-11-27,65
2013-11-28,71
2013-11-29,68
2013-11-30,76
2013-12-01,65
2013-12-02,66
2013-12-03,59
2013-12-04,61
2013-12-05,66
