,HPCP,DATE
0,0,2013-01-01
1,0,2013-01-06
2,0,2013-01-06
3,0,2013-01-06
4,1,2013-01-06
5,1,2013-01-06
6,1,2013-01-06
7,1,2013-01-06
8,0,2013-01-06
9,1,2013-01-06
10,0,2013-01-07
11,1,2013-01-07
12,1,2013-01-10
13,1,2013-01-10
14,1,2013-01-10
15,0,2013-01-24
16,0,2013-01-24
17,0,2013-01-24
18,0,2013-01-24
19,0,2013-01-24
20,0,2013-01-24
21,0,2013-01-24
22,0,2013-01-24
23,0,2013-01-25
24,0,2013-01-25
25,0,2013-01-25
26,1,2013-01-25
27,1,2013-01-25
28,1,2013-01-25
29,1,2013-01-25
30,1,2013-01-25
31,1,2013-01-25
32,1,2013-01-25
33,1,2013-01-25
34,1,2013-01-25
35,1,2013-01-25
36,1,2013-01-25
37,1,2013-01-25
38,1,2013-01-25
39,1,2013-01-25
40,1,2013-01-25
41,1,2013-01-25
42,1,2013-01-25
43,1,2013-01-25
44,1,2013-01-26
45,1,2013-01-26
46,1,2013-01-26
47,1,2013-01-26
48,1,2013-01-26
49,1,2013-01-26
50,0,2013-01-26
51,1,2013-01-26
52,1,2013-01-26
53,1,2013-01-27
54,0,2013-01-28
55,0,2013-02-01
56,0,2013-02-02
57,0,2013-02-02
58,0,2013-02-03
59,0,2013-02-03
60,0,2013-02-03
61,0,2013-02-03
62,0,2013-02-08
63,0,2013-02-08
64,1,2013-02-08
65,0,2013-02-08
66,1,2013-02-08
67,1,2013-02-08
68,0,2013-02-08
69,1,2013-02-08
70,1,2013-02-08
71,1,2013-02-08
72,0,2013-02-08
73,0,2013-02-08
74,1,2013-02-08
75,1,2013-02-09
76,0,2013-02-09
77,0,2013-02-09
78,0,2013-02-09
79,0,2013-02-10
80,0,2013-02-10
81,0,2013-02-19
82,0,2013-02-19
83,1,2013-02-19
84,0,2013-02-19
85,0,2013-02-19
86,0,2013-02-19
87,1,2013-02-19
88,1,2013-02-20
89,1,2013-02-20
90,0,2013-02-20
91,0,2013-02-20
92,0,2013-02-20
93,1,2013-02-21
94,0,2013-02-21
