,Unnamed: 0,CO,NO2,O3,AQI,AQI_Dominant,AQI_Category,label,viterbi
0,0,2.6,113.0,0.1268,222.9063829787234,O3,5,0,0
1,1,2.0,92.0,0.0972,179.8842105263158,O3,4,0,0
2,2,2.2,114.0,0.1074,202.4744680851064,O3,5,0,0
3,3,2.2,122.0,0.1203,216.06063829787234,O3,5,0,0
4,4,1.6,116.0,0.111,206.26595744680853,O3,5,0,0
5,5,1.2,96.0,0.0949,173.95263157894738,O3,4,0,0
6,6,1.2,77.0,0.0733,109.05000000000003,O3,3,0,0
7,7,1.0,76.0,0.073,108.0,O3,3,0,0
8,8,0.9,60.0,0.062,73.86666666666665,O3,2,1,1
9,11,0.7,28.0,0.0422,39.074074074074076,O3,1,1,1
10,12,0.7,48.0,0.0472,45.283018867924525,NO2,1,1,1
11,13,1.1,82.0,0.073,108.0,O3,3,0,0
12,14,2.0,112.0,0.1102,205.42340425531916,O3,5,0,0
13,15,2.2,101.0,0.1028,194.3263157894737,O3,4,0,0
14,16,1.7,98.0,0.086,151.0,O3,4,0,0
15,17,1.5,92.0,0.0671,91.47826086956522,NO2,2,0,0
16,18,1.6,95.0,0.0664,94.67391304347827,NO2,2,0,0
17,19,1.9,112.0,0.0799,132.14999999999998,O3,3,0,0
18,20,2.9,128.0,0.1037,196.64736842105265,O3,4,0,0
19,21,2.2,126.0,0.0946,173.17894736842106,O3,4,0,0
20,22,2.2,131.0,0.0957,176.0157894736842,O3,4,0,0
21,23,2.9,135.0,0.1104,205.63404255319148,O3,5,0,0
22,24,4.8,151.0,0.1409,237.7563829787234,O3,5,0,0
23,25,6.9,172.0,0.1704,268.8255319148936,O3,5,0,0
24,26,6.1,165.0,0.1654,263.5595744680851,O3,5,0,0
25,27,3.9,136.0,0.1285,224.6968085106383,O3,5,0,0
26,28,1.5,85.0,0.0821,139.85000000000002,O3,3,0,0
27,29,1.0,53.0,0.0552,51.65333333333333,O3,2,1,0
28,30,1.7,97.0,0.0816,138.10000000000002,O3,3,0,0
29,31,1.9,110.0,0.0832,143.69999999999996,O3,3,0,0
30,32,1.4,91.0,0.0692,97.38666666666663,O3,2,1,1
31,35,0.6,44.0,0.0394,41.509433962264154,NO2,1,1,1
32,36,0.8,71.0,0.0487,69.1086956521739,NO2,2,1,1
33,37,1.4,104.0,0.0748,114.30000000000003,O3,3,0,0
34,38,4.4,141.0,0.14,236.8085106382979,O3,5,0,0
35,40,3.1,122.0,0.1237,219.64148936170213,O3,5,0,0
